,โปรตีน ช่วยซ่อมแซมส่วนที่สึกหรอ สร้างกล้ามเนื้อ,วิตามินเกลือแร่รวมและไฟโตนิวเทรียนท์,สารต้านอนุมูลอิสระ ช่วยกำจัดสารพิษต่างๆ,น้ำมันปลา บำรุงสมอง สายตา ผิวพรรณ,ใยอาหาร ช่วยเรื่องการขับถ่าย จากการทานผักผลไม้ไม่พอ,วิตามินดี กระดูกแข็งแรง,วิตามินซี เสริมภูมิคุ้มกัน แก้หวัด,วิตามินบีรวม ให้คุณมีพลังงานตลอดทั้งวัน,บำรุงกระดูก เช่น แคลเซียม วิตามินดี,บำรุงข้อต่อ เช่น กลูโคซามีน คอนดอยติน,บำรุงสมอง เช่น น้ำมันปลา,บำรุงลำไส้ การย่อยอาหาร เช่น โปรไบโอติกส์ เอนไซม์ช่วยย่อย,ช่วยเพิ่มพลังงาน เช่น วิตามินบี โสมไซบีเรีย,บำรุงสายตา เช่น เบต้าแคโรทีน ลูทีนซีแซนทีน,เพิ่มสมาธิและความจำ เช่น ซีสแทนเซ,บำรุงหัวใจ เช่น กระเทียม โคคิวเท็น สารสกัดจากชาเขียว,ภูมิต้านทาน เช่น เอกไคนีเซีย วิตามินซี สารสกัดจากอบเชย,บำรุงต่อมลูกหมาก เช่น Saw Palmetto and Nettle Root,ช่วยเรื่องการนอน เช่น เมลาโทนิน,ช่วยเรื่องความเครียด เช่น เวอราเรียน
0,0.0,3.01,0.0,1.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.0,3.01,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,3.01,2.0,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
5,1.0,2.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,1.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2.0,0.0,3.01,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,3.0,2.02,0.0,0.0,0.0,0.0,0.01,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,3.0,0.0,0.0,1.99,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,2.99,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
11,3.0,2.02,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,2.99,0.0,0.99,2.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,1.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,0.0,0.0
14,2.0,0.0,3.01,0.0,0.0,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,2.01,3.02,0.0,0.0,0.0,0.0,0.0,0.98,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.0,0.0,1.99,0.0,0.0,1.01,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
18,3.0,2.02,0.0,0.0,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,0.0,0.0,0.0,0.0,0.0,2.99,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.02,0.0,0.0,0.0,0.0,0.0,2.01,1.0,0.0,0.0,0.0,0.0,0.0
21,2.0,0.0,1.0,0.0,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,0.0,0.0,0.0,0.0,0.0,0.0,3.01,0.0,0.0,0.0,0.0,0.0,0.0,2.01,0.0,0.0,0.0,0.0,1.0,0.0
23,1.0,0.0,3.01,1.99,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
